"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"71","Oh43_1399_2","2","Bottom","Oh43","1399"," 2",0.7595,1.68,1.7705,2.6975,130.27083,13.13059,17.87274,23.63089935,15.33335765,11.7578067896696,11.1797510882315,1134.03481483809,1.13403481483809,3.541,5.395
"72","Oh43_1399_2","2","Middle","Oh43","1399"," 2",0.4725,1.226,1.5315,2.418,88.62124,11.12972,11.613185,8.94545005,10.17546665,6.82157051274237,6.7199987518953,1329.7162511511,1.3297162511511,3.063,4.836
"73","Oh43_1399_3","2","Bottom","Oh43","1399"," 3",1.1235,2.035,2.195,3.1245,149.48415,14.43333,18.886595,40.211412,28.32302625,25.9514229319404,23.6848968734627,589.575594496351,0.589575594496351,4.39,6.249
"74","Oh43_1399_3","2","Middle","Oh43","1399"," 3",0.826333333333333,1.35533333333333,1.57333333333333,2.38966666666667,68.17297,9.23938,9.69096,12.7152469666667,9.7185526,7.3093141858236,6.70870909579706,954.643261480683,0.954643261480683,3.14666666666667,4.77933333333333
"75","Oh43_1402_1","2","Middle","Oh43","1402"," 1",0.615,1.43,1.0835,2.43775,160.0734025,12.6080825,14.59904,8.23297035,9.693542575,2.43530289368807,2.17406362609072,6727.77902118489,6.72777902118489,2.167,4.8755
"76","Oh43_1402_3","2","Middle","Oh43","1402"," 3",0.862,1.38166666666667,1.81133333333333,2.19166666666667,106.980616666667,11.383485,13.8335933333333,12.1747402333333,15.9887117333333,10.2293187883765,9.53429102943725,1070.44389708972,1.07044389708972,3.62266666666667,4.38333333333333
"77","Oh43_1402_4","2","Bottom","Oh43","1402"," 4",0.7255,1.084,1.7595,2.367,176.512215,18.159235,20.53445,10.9742007,9.5590691,10.1261217361479,9.80102051167041,1784.17375808533,1.78417375808533,3.519,4.734
"78","Oh43_1402_4","2","Middle","Oh43","1402"," 4",0.3885,1.6095,1.289,2.447,74.25737,8.38542,10.61048,7.12430865,14.95560545,4.11594719247389,4.04182621752713,1846.61048108346,1.84661048108346,2.578,4.894
"79","Oh43_1402_6","2","Bottom","Oh43","1402"," 6",1.0465,1.355,1.882,2.239,155.56793,13.54091,21.80944,12.732004,12.78306165,11.7216843869716,10.5020376282548,1358.42472033341,1.35842472033341,3.764,4.478
"80","Oh43_1402_7","2","Middle","Oh43","1402"," 7",0.453333333333333,1.47033333333333,1.27766666666667,2.24366666666667,159.469316666667,10.705985,14.6889433333333,7.19138463333333,10.6243898333333,3.67526028972366,3.56767674817778,4441.14096135126,4.44114096135126,2.55533333333333,4.48733333333333
