General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"49.60000","0.82630","7.07023"
"49.70000","0.82802","7.07567"
"49.80000","0.82975","7.08205"
"49.90000","0.83142","7.08674"
"50.00000","0.83305","7.09081"
"50.10000","0.83475","7.09681"
"50.20000","0.83646","7.10257"
"50.30000","0.83808","7.10652"
"50.40000","0.83974","7.11238"
"50.50000","0.84139","7.11795"
"50.60000","0.84300","7.12297"
"50.70000","0.84462","7.12841"
"50.80000","0.84630","7.13531"
"50.90000","0.84799","7.14281"
"51.00000","0.84967","7.14956"
"51.10000","0.85133","7.15476"
"51.20000","0.85294","7.15925"
"51.30000","0.85470","7.16785"
"51.40000","0.85651","7.17767"
"51.50000","0.85817","7.18247"
"51.60000","0.85983","7.18759"
"51.70000","0.86149","7.19305"
"51.80000","0.86313","7.19759"
"51.90000","0.86470","7.20107"
"52.00000","0.86637","7.20738"
"52.10000","0.86809","7.21482"
"52.20000","0.86974","7.22019"
"52.30000","0.87140","7.22595"
"52.40000","0.87310","7.23322"
"52.50000","0.87473","7.23787"
"52.60000","0.87633","7.24211"
"52.70000","0.87802","7.24989"
"52.80000","0.87975","7.25824"
"52.90000","0.88150","7.26665"
"53.00000","0.88319","7.27375"
"53.10000","0.88487","7.27979"
"53.20000","0.88657","7.28647"
"53.30000","0.88814","7.28955"
"53.40000","0.88978","7.29504"
"53.50000","0.89146","7.30127"
"53.60000","0.89310","7.30645"
"53.70000","0.89469","7.30986"
"53.80000","0.89633","7.31568"
"53.90000","0.89801","7.32158"
"54.00000","0.89968","7.32783"
"54.10000","0.90139","7.33430"
"54.20000","0.90310","7.34117"
"54.30000","0.90476","7.34618"
"54.40000","0.90646","7.35313"
"54.50000","0.90814","7.35935"
"54.60000","0.90981","7.36546"
"54.70000","0.91144","7.37074"
"54.80000","0.91308","7.37602"
"54.90000","0.91475","7.38172"
"55.00000","0.91638","7.38648"
"55.10000","0.91803","7.39201"
"55.20000","0.91965","7.39697"
"55.30000","0.92133","7.40341"
"55.40000","0.92299","7.40835"
"55.50000","0.92463","7.41209"
"55.60000","0.92628","7.41670"
"55.70000","0.92800","7.42347"
"55.80000","0.92971","7.42950"
"55.90000","0.93134","7.43319"
"56.00000","0.93299","7.43793"
"56.10000","0.93461","7.44055"
"56.20000","0.93616","7.44231"
"56.30000","0.93784","7.44768"
"56.40000","0.93956","7.45364"
"56.50000","0.94116","7.45673"
"56.60000","0.94274","7.45993"
"56.70000","0.94436","7.46434"
"56.80000","0.94599","7.46892"
"56.90000","0.94762","7.47322"
"57.00000","0.94922","7.47735"
"57.10000","0.95086","7.48183"
"57.20000","0.95262","7.48924"
"57.30000","0.95437","7.49653"
"57.40000","0.95606","7.50078"
"57.50000","0.95783","7.50841"
"57.60000","0.95950","7.51182"
"57.70000","0.96110","7.51430"
"57.80000","0.96301","7.52530"
"57.90000","0.96488","7.53307"
"58.00000","0.96657","7.53648"
"58.10000","0.96826","7.53980"
"58.20000","0.96994","7.54390"
"58.30000","0.97155","7.54517"
"58.40000","0.97314","7.54691"
"58.50000","0.97471","7.54925"
"58.60000","0.97637","7.55487"
"58.70000","0.97805","7.56051"
"58.80000","0.97969","7.56428"
"58.90000","0.98126","7.56605"
"59.00000","0.98287","7.57037"
"59.10000","0.98457","7.57620"
"59.20000","0.98620","7.58024"
"59.30000","0.98787","7.58499"
"59.40000","0.98956","7.58997"
"59.50000","0.99129","7.59628"
"59.60000","0.99302","7.60211"
"59.70000","0.99474","7.60783"
"59.80000","0.99635","7.60942"
"59.90000","0.99792","7.61008"
"60.00000","0.99953","7.61274"
"60.10000","1.00120","7.61720"
"60.20000","1.00287","7.62163"
"60.30000","1.00452","7.62539"
"60.40000","1.00617","7.62857"
"60.50000","1.00781","7.63234"
"60.60000","1.00942","7.63513"
"60.70000","1.01103","7.63918"
"60.80000","1.01268","7.64324"
"60.90000","1.01437","7.64869"
"61.00000","1.01601","7.65276"
"61.10000","1.01775","7.65905"
"61.20000","1.01962","7.66921"
"61.30000","1.02140","7.67536"
"61.40000","1.02314","7.68040"
"61.50000","1.02479","7.68306"
"61.60000","1.02641","7.68516"
"61.70000","1.02805","7.68836"
"61.80000","1.02977","7.69376"
"61.90000","1.03139","7.69552"
"62.00000","1.03305","7.69885"
"62.10000","1.03475","7.70442"
"62.20000","1.03643","7.70818"
"62.30000","1.03809","7.71151"
"62.40000","1.03970","7.71382"
"62.50000","1.04137","7.71978"
"62.60000","1.04304","7.72430"
"62.70000","1.04467","7.72719"
"62.80000","1.04634","7.73171"
"62.90000","1.04802","7.73658"
"63.00000","1.04971","7.74123"
"63.10000","1.05139","7.74518"
"63.20000","1.05301","7.74811"
"63.30000","1.05465","7.75113"
"63.40000","1.05629","7.75432"
"63.50000","1.05797","7.75867"
"63.60000","1.05960","7.76142"
"63.70000","1.06119","7.76254"
"63.80000","1.06287","7.76659"
"63.90000","1.06453","7.76952"
"64.00000","1.06623","7.77345"
"64.10000","1.06787","7.77540"
"64.20000","1.06951","7.77780"
"64.30000","1.07115","7.78050"
"64.40000","1.07283","7.78485"
"64.50000","1.07459","7.79135"
"64.60000","1.07639","7.79836"
"64.70000","1.07806","7.80158"
"64.80000","1.07968","7.80349"
"64.90000","1.08132","7.80623"
"65.00000","1.08299","7.81071"
"65.10000","1.08465","7.81389"
"65.20000","1.08629","7.81643"
"65.30000","1.08801","7.82184"
"65.40000","1.08982","7.82865"
"65.50000","1.09154","7.83365"
"65.60000","1.09316","7.83528"
"65.70000","1.09470","7.83492"
"65.80000","1.09649","7.84186"
"65.90000","1.09828","7.84787"
"66.00000","1.09988","7.84831"
"66.10000","1.10146","7.84911"
"66.20000","1.10315","7.85302"
"66.30000","1.10482","7.85638"
"66.40000","1.10638","7.85762"
"66.50000","1.10802","7.86114"
"66.60000","1.10963","7.86355"
"66.70000","1.11114","7.86405"
"66.80000","1.11278","7.86797"
"66.90000","1.11445","7.87218"
"67.00000","1.11611","7.87600"
"67.10000","1.11782","7.88136"
"67.20000","1.11958","7.88691"
"67.30000","1.12133","7.89259"
"67.40000","1.12319","7.90020"
"67.50000","1.12485","7.90122"
"67.60000","1.12649","7.90332"
"67.70000","1.12826","7.90826"
"67.80000","1.13002","7.91291"
"67.90000","1.13169","7.91436"
"68.00000","1.13324","7.91382"
"68.10000","1.13482","7.91430"
"68.20000","1.13644","7.91594"
"68.30000","1.13797","7.91517"
"68.40000","1.13948","7.91467"
"68.50000","1.14107","7.91655"
"68.60000","1.14278","7.92177"
"68.70000","1.14441","7.92415"
"68.80000","1.14602","7.92612"
"68.90000","1.14768","7.92922"
"69.00000","1.14935","7.93275"
"69.10000","1.15114","7.93918"
"69.20000","1.15289","7.94416"
"69.30000","1.15458","7.94716"
"69.40000","1.15624","7.94964"
"69.50000","1.15796","7.95297"
"69.60000","1.15980","7.95957"
"69.70000","1.16150","7.96223"
"69.80000","1.16317","7.96457"
"69.90000","1.16478","7.96528"
"70.00000","1.16636","7.96476"
"70.10000","1.16796","7.96623"
"70.20000","1.16956","7.96724"
"70.30000","1.17113","7.96817"
"70.40000","1.17285","7.97302"
"70.50000","1.17453","7.97596"
"70.60000","1.17614","7.97798"
"70.70000","1.17781","7.98058"
"70.80000","1.17940","7.98154"
"70.90000","1.18109","7.98532"
"71.00000","1.18288","7.99075"
"71.10000","1.18459","7.99438"
"71.20000","1.18627","7.99706"
"71.30000","1.18797","7.99983"
"71.40000","1.18964","8.00165"
"71.50000","1.19132","8.00371"
"71.60000","1.19304","8.00693"
"71.70000","1.19472","8.00821"
"71.80000","1.19637","8.00932"
"71.90000","1.19801","8.01099"
"72.00000","1.19968","8.01354"
"72.10000","1.20138","8.01688"
"72.20000","1.20309","8.01994"
"72.30000","1.20468","8.01986"
"72.40000","1.20645","8.02638"
"72.50000","1.20828","8.03292"
"72.60000","1.21003","8.03673"
"72.70000","1.21169","8.03878"
"72.80000","1.21335","8.04113"
"72.90000","1.21492","8.04072"
"73.00000","1.21661","8.04492"
"73.10000","1.21824","8.04666"
"73.20000","1.21988","8.04879"
"73.30000","1.22155","8.05161"
"73.40000","1.22317","8.05398"
"73.50000","1.22494","8.05963"
"73.60000","1.22663","8.06259"
"73.70000","1.22825","8.06334"
"73.80000","1.22999","8.06893"
"73.90000","1.23160","8.06982"
"74.00000","1.23326","8.07263"
"74.10000","1.23498","8.07740"
"74.20000","1.23658","8.07837"
"74.30000","1.23832","8.08496"
"74.40000","1.24000","8.08896"
"74.50000","1.24158","8.08947"
"74.60000","1.24317","8.09185"
"74.70000","1.24475","8.09333"
"74.80000","1.24628","8.09364"
"74.90000","1.24779","8.09350"
"75.00000","1.24940","8.09593"
"75.10000","1.25106","8.09971"
"75.20000","1.25278","8.10502"
"75.30000","1.25450","8.10926"
"75.40000","1.25620","8.11291"
