General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"68.50000","1.14134","15.34037"
"68.60000","1.14298","15.35786"
"68.70000","1.14464","15.37650"
"68.80000","1.14622","15.38914"
"68.90000","1.14786","15.40569"
"69.00000","1.14952","15.42375"
"69.10000","1.15117","15.44069"
"69.20000","1.15272","15.45437"
"69.30000","1.15432","15.47089"
"69.40000","1.15592","15.48800"
"69.50000","1.15764","15.51255"
"69.60000","1.15935","15.53615"
"69.70000","1.16110","15.56066"
"69.80000","1.16279","15.58092"
"69.90000","1.16451","15.60357"
"70.00000","1.16619","15.62241"
"70.10000","1.16782","15.63776"
"70.20000","1.16955","15.66031"
"70.30000","1.17126","15.67971"
"70.40000","1.17299","15.69996"
"70.50000","1.17472","15.71978"
"70.60000","1.17642","15.73787"
"70.70000","1.17808","15.75445"
"70.80000","1.17976","15.77163"
"70.90000","1.18139","15.78595"
"71.00000","1.18315","15.80993"
"71.10000","1.18488","15.83121"
"71.20000","1.18647","15.86109"
"71.30000","1.18798","15.86850"
"71.40000","1.18954","15.87961"
"71.50000","1.19113","15.89318"
"71.60000","1.19272","15.90699"
"71.70000","1.19436","15.92502"
"71.80000","1.19602","15.94411"
"71.90000","1.19766","15.96248"
"72.00000","1.19933","15.98193"
"72.10000","1.20107","16.00556"
"72.20000","1.20278","16.02590"
"72.30000","1.20447","16.04335"
"72.40000","1.20617","16.06192"
"72.50000","1.20784","16.07882"
"72.60000","1.20940","16.08854"
"72.70000","1.21119","16.11409"
"72.80000","1.21302","16.13965"
"72.90000","1.21470","16.15441"
"73.00000","1.21641","16.17135"
"73.10000","1.21808","16.18470"
"73.20000","1.21968","16.19692"
"73.30000","1.22126","16.20820"
"73.40000","1.22284","16.22142"
"73.50000","1.22449","16.24033"
"73.60000","1.22611","16.25694"
"73.70000","1.22773","16.27308"
"73.80000","1.22941","16.29436"
"73.90000","1.23113","16.31674"
"74.00000","1.23286","16.33855"
"74.10000","1.23452","16.35501"
"74.20000","1.23625","16.37675"
"74.30000","1.23800","16.39934"
"74.40000","1.23969","16.41739"
"74.50000","1.24140","16.43641"
"74.60000","1.24309","16.45467"
"74.70000","1.24476","16.47128"
"74.80000","1.24633","16.48098"
"74.90000","1.24790","16.49107"
"75.00000","1.24951","16.50514"
"75.10000","1.25118","16.52226"
"75.20000","1.25278","16.53567"
"75.30000","1.25432","16.54605"
"75.40000","1.25592","16.56064"
"75.50000","1.25752","16.57500"
"75.60000","1.25923","16.59682"
"75.70000","1.26089","16.61389"
"75.80000","1.26255","16.63054"
